feature,importance
BroadcastName_M VERSTAPPEN,0.033451
Abbreviation_VER,0.026139187
FP2_Driver_RUS,0.009984718
CountryCode_NED,0.008944004
TeamId_mercedes,0.008034641
BroadcastName_C SAINZ,0.007966756
FP3_Driver_LEC,0.007866467
FP1_Driver_RUS,0.0076259943
FP1_Driver_NOR,0.0072762705
Abbreviation_SAI,0.007156629
BroadcastName_D RICCIARDO,0.0070180497
BroadcastName_L NORRIS,0.006725249
FP3_Driver_PIA,0.006553555
FP3_Driver_TSU,0.0065285317
TeamId_mclaren,0.006323926
FP3_Pressure_max,0.0062855687
CountryCode_MON,0.0060788435
TeamName_Mercedes,0.0058522685
FP2_Driver_LEC,0.005704091
FP2_AvgLapTimeOnTyre_INTERMEDIATE,0.0055645728
TeamName_McLaren,0.0055631287
FP1_Driver_BOT,0.0055259066
Abbreviation_RUS,0.0054235407
FP2_Driver_PIA,0.0053811143
FP3_Driver_ALO,0.005283705
FP1_Driver_RIC,0.005231529
TeamName_Kick Sauber,0.0050358754
BroadcastName_V BOTTAS,0.004883004
DriverId_sargeant,0.0048687803
FP2_Driver_HAM,0.0048386883
CountryCode_GER,0.0048357393
FP2_FastestLapTimeOnTyre_INTERMEDIATE,0.0048309616
Session4TimeOfDay_night,0.0047709206
FP1_Driver_LEC,0.0046676965
FP3_Humidity_max,0.004638044
TeamName_Ferrari,0.004611723
FP3_Driver_HAM,0.0045936685
FP3_Driver_MAG,0.004501124
TeamId_red_bull,0.004476617
TeamId_alpine,0.004446917
FP2_Driver_ALB,0.0044302624
FP1_Driver_PIA,0.004370473
Session3TimeOfDay_evening,0.0043121744
FP2_Driver_TSU,0.0043093166
TeamId_ferrari,0.004287887
BroadcastName_G RUSSELL,0.004232332
Abbreviation_GAS,0.004142047
CountryCode_AUS,0.00410583
CountryCode_FRA,0.0040379795
TeamName_Alpine,0.003931514
CountryCode_THA,0.0038996416
TeamName_AlphaTauri,0.0038929991
FP3_AirTemp_mean,0.003869857
FP2_Driver_ALO,0.0038505865
FP2_Driver_STR,0.0038192994
FP3_FastestLapTimeOnTyre_WET,0.0038096916
FP2_Pressure_mean,0.003768596
TeamId_williams,0.0037669453
FP3_Driver_RIC,0.0037646207
FP1_Red,0.003723598
FP1_Driver_TSU,0.00371239
CountryCode_ESP,0.003685711
FP2_WindDirection_mean,0.0036733907
FP3_AirTemp_max,0.0036530204
TeamId_sauber,0.0036302505
FP1_Driver_ALO,0.0036231189
Session5TimeOfDay_afternoon,0.0036223175
FP3_AvgSpeedOnTyre_HARD,0.00357901
FP3_Driver_HUL,0.003559974
FP2_FastestSpeedOnTyre_INTERMEDIATE,0.0035448507
TeamName_Red Bull Racing,0.0035414593
FP1_MaxStint_SOFT,0.003507436
FP1_Driver_STR,0.0034700737
CountryCode_CAN,0.0034528794
BroadcastName_N HULKENBERG,0.0034368408
FP3_WindSpeed_max,0.003435573
FP1_AvgLapTimeOnTyre_INTERMEDIATE,0.0033756269
TeamName_Williams,0.0033743498
FP3_Humidity_min,0.0033063574
TeamId_rb,0.0033016452
FP3_Driver_SAI,0.003272253
FP1_Humidity_max,0.0032569761
FP2_AirTemp_mean,0.003255238
FP2_AvgLapTimeOnTyre_HARD,0.0032381332
FP3_FastestLapTimeOnTyre_HARD,0.0032374111
BroadcastName_S PEREZ,0.0032308097
FP2_FastestLapTimeOnTyre_MEDIUM,0.0032272595
FP2_Humidity_max,0.003211098
FP1_Driver_GAS,0.0032057678
FP2_AirTemp_min,0.0032024565
FP2_Driver_SAR,0.0031952853
FP3_AvgSpeedOnTyre_SOFT,0.0031634537
Session1TimeOfDay_afternoon,0.0031593582
FP1_TrackTemp_mean,0.0031519372
FP1_Humidity_min,0.0031517916
FP3_FastestSpeedOnTyre_HARD,0.0031481045
TeamId_alphatauri,0.0031183823
FP1_Driver_MAG,0.003113647
FP2_AvgSpeedOnTyre_INTERMEDIATE,0.0030941048
FP3_AirTemp_min,0.0030923476
TeamName_Haas F1 Team,0.0030918573
DriverNumber,0.0030822759
FP1_Driver_PER,0.00308051
Unnamed: 0,0.0030742486
FP3_Pressure_mean,0.0030740115
FP2_Driver_OCO,0.0030380527
BroadcastName_L HAMILTON,0.0030332685
FP3_Red,0.0030326648
TotalCorners,0.003023847
FP2_MaxStint_MEDIUM,0.0030124048
FP2_Pressure_min,0.002998353
FP3_AvgSpeedOnTyre_INTERMEDIATE,0.0029971863
FP2_AvgSpeedOnTyre_HARD,0.002983084
TeamName_Aston Martin,0.0029788997
FP1_AvgLapTimeOnTyre_HARD,0.0029763454
DriverId_leclerc,0.0029713276
