feature,importance
Status_Retired,0.08185381
FP2_FastestLapTimeOnTyre_INTERMEDIATE,0.015628397
TeamId_aston_martin,0.015036585
Racepace,0.010244065
RACE_Pressure_max,0.0101046385
TeamName_Mercedes,0.009459992
TeamName_Haas F1 Team,0.009260744
TeamName_Kick Sauber,0.00869357
Status_Lapped,0.008227029
GridPosition,0.0077621904
Status_Finished,0.0075973812
FP2_TrackTemp_min,0.006807155
RACE_AvgSpeedOnTyre_WET,0.006785911
RACE_AvgLapTimeOnTyre_WET,0.0064404365
FP2_AvgSpeedOnTyre_INTERMEDIATE,0.0064242077
CountryCode_FRA,0.006307669
RACE_MaxStint_INTERMEDIATE,0.0062396056
Quali_WindSpeed_mean,0.006180263
FP3_WindSpeed_mean,0.00610375
FP1_Yellow,0.006039077
Quali_Pressure_mean,0.0060262815
FP3_Humidity_max,0.0059674387
FP3_AvgSpeedOnTyre_INTERMEDIATE,0.005844332
FP3_AvgLapTimeOnTyre_WET,0.005837384
RACE_AvgLapTimeOnTyre_INTERMEDIATE,0.0057568788
Quali_AvgTyreLife_INTERMEDIATE,0.0057323384
CountryCode_NED,0.005628109
FP1_AirTemp_min,0.005501201
RACE_AvgLapTimeOnTyre_MEDIUM,0.00547966
BroadcastName_A ALBON,0.0054754033
FP3_FastestLapTimeOnTyre_INTERMEDIATE,0.005295677
FP3_Humidity_min,0.005196763
Quali_MaxStint_SOFT,0.0051714946
FP3_Red,0.0050917114
FP1_Humidity_max,0.0050685974
EventFormat_conventional,0.0050466834
FP3_MaxStint_SOFT,0.0050319238
RACE_TotalPitStops,0.0050139176
Quali_AirTemp_mean,0.004999972
FP2_FastestLapTimeOnTyre_HARD,0.004989581
FP2_AvgSector3Time_ms,0.004802877
Session5TimeOfDay_afternoon,0.0047857026
TeamName_Ferrari,0.00465334
ComparativePace_Quali_Q2_ms,0.004602904
FP3_TrackTemp_min,0.004508966
ComparativePace_FP3_FastestFullLapTime_ms,0.004487293
FP3_WindSpeed_max,0.0044809557
FP1_Humidity_min,0.0044301227
RACE_AvgSpeedOnTyre_SOFT,0.0043988856
RACE_TrackTemp_max,0.004370062
FP2_Humidity_min,0.0043544034
Quali_TrackTemp_mean,0.004326674
FP1_AirTemp_max,0.0042894688
RACE_Humidity_mean,0.0042635114
FP3_AvgSpeedOnTyre_HARD,0.0041356054
ComparativePace_FP2_FastestSector2Time_ms,0.0041197785
RACE_FastestSpeedOnTyre_SOFT,0.004089631
FP2_WindSpeed_max,0.004065752
FP3_AirTemp_max,0.0040412196
ComparativePace_Quali_Q1_ms,0.0040029725
ComparativePace_FP1_FastestFullLapTime_ms,0.00400196
FP3_FastestSpeedOnTyre_SOFT,0.00398206
ComparativePace_FP3_FastestSector2Time_ms,0.003978557
FP2_AvgLapTimeOnTyre_MEDIUM,0.0039628646
RACE_FastestSpeedOnTyre_WET,0.003906723
FP3_AvgSector1Time_ms,0.0038992572
Quali_Humidity_mean,0.00387405
FP1_Humidity_mean,0.0038559134
FP2_FastestSpeedOnTyre_MEDIUM,0.0038359382
Quali_TotalPitStops,0.0038270492
RACE_FastestSector1Time_ms,0.00378317
FP1_AvgLapTimeOnTyre_SOFT,0.0037369248
FP1_AvgSector3Time_ms,0.0037368007
RACE_Humidity_max,0.0037203366
ComparativePace_Quali_FastestSector3Time_ms,0.0037141023
FP2_AvgTyreLife_SOFT,0.003713705
ComparativePace_FP2_FastestSector3Time_ms,0.0037080217
ComparativePace_FP1_FastestSector2Time_ms,0.0037020824
RACE_AvgTyreLife_MEDIUM,0.0036825333
ComparativePace_FP1_FastestSector3Time_ms,0.003666668
Quali_Humidity_max,0.0036641227
FP2_AvgSector1Time_ms,0.0036605836
CountryCode_ESP,0.0036538788
DriverNumber,0.0036254053
RACE_AvgSector3Time_ms,0.003615066
FP1_AvgTyreLife_SOFT,0.0036019692
ComparativePace_Quali_FastestSector2Time_ms,0.0035814876
RACE_AvgSector1Time_ms,0.0035796277
FP3_Pressure_mean,0.0035535644
FP3_FastestSpeedOnTyre_MEDIUM,0.0035534361
RACE_SCDeployed,0.0035521197
FP2_AvgTyreLife_MEDIUM,0.0035441942
Quali_WindSpeed_max,0.0035385105
FP1_FastestLapTimeOnTyre_HARD,0.003531338
RACE_AvgTyreLife_INTERMEDIATE,0.0035287493
RACE_AvgSpeedOnTyre_INTERMEDIATE,0.0035273184
ComparativePace_Quali_FastestSector1Time_ms,0.0035111778
FP1_FastestSpeedOnTyre_MEDIUM,0.0034717727
ComparativePace_FP2_FastestFullLapTime_ms,0.0034714446
FP1_AvgSpeedOnTyre_SOFT,0.003470499
FP3_AvgLapTimeOnTyre_INTERMEDIATE,0.0034701817
RACE_AirTemp_min,0.0034340627
FP2_WindSpeed_mean,0.0034299695
ComparativePace_Quali_Q3_ms,0.003424039
RACE_MaxStint_HARD,0.0034218451
RACE_Yellow,0.00339576
Quali_Yellow,0.0033915783
FP1_MaxStint_MEDIUM,0.0033907657
FP2_AvgSpeedOnTyre_SOFT,0.0033889613
FP1_AvgSector1Time_ms,0.0033851329
