,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamId,CountryCode,Position,RACEYEAR,RACENUMBER,IsWinnerFlag,fast,medium,slow,TotalCorners,Country,Location,OfficialEventName,EventName,EventFormat,Session1TimeOfDay,Session2TimeOfDay,Session3TimeOfDay,Session4TimeOfDay,Session5TimeOfDay,FP1_RACEYEAR,FP1_RACENUMBER,FP1_AirTemp_mean,FP1_AirTemp_min,FP1_AirTemp_max,FP1_Humidity_mean,FP1_Humidity_min,FP1_Humidity_max,FP1_Pressure_mean,FP1_Pressure_min,FP1_Pressure_max,FP1_Rainfall_max,FP1_TrackTemp_mean,FP1_TrackTemp_min,FP1_TrackTemp_max,FP1_WindDirection_mean,FP1_WindSpeed_mean,FP1_WindSpeed_max,FP1_Driver,FP1_AvgPitStopDuration_ms,FP1_TotalPitStops,FP1_MaxStint_HARD,FP1_MaxStint_INTERMEDIATE,FP1_MaxStint_MEDIUM,FP1_MaxStint_SOFT,FP1_MaxStint_WET,FP1_AvgTyreLife_HARD,FP1_AvgTyreLife_INTERMEDIATE,FP1_AvgTyreLife_MEDIUM,FP1_AvgTyreLife_SOFT,FP1_AvgTyreLife_WET,FP1_AvgSpeedOnTyre_HARD,FP1_AvgSpeedOnTyre_INTERMEDIATE,FP1_AvgSpeedOnTyre_MEDIUM,FP1_AvgSpeedOnTyre_SOFT,FP1_AvgSpeedOnTyre_WET,FP1_FastestSpeedOnTyre_HARD,FP1_FastestSpeedOnTyre_INTERMEDIATE,FP1_FastestSpeedOnTyre_MEDIUM,FP1_FastestSpeedOnTyre_SOFT,FP1_FastestSpeedOnTyre_WET,FP1_AvgLapTimeOnTyre_HARD,FP1_AvgLapTimeOnTyre_INTERMEDIATE,FP1_AvgLapTimeOnTyre_MEDIUM,FP1_AvgLapTimeOnTyre_SOFT,FP1_AvgLapTimeOnTyre_WET,FP1_FastestLapTimeOnTyre_HARD,FP1_FastestLapTimeOnTyre_INTERMEDIATE,FP1_FastestLapTimeOnTyre_MEDIUM,FP1_FastestLapTimeOnTyre_SOFT,FP1_FastestLapTimeOnTyre_WET,FP1_Red,FP1_SCDeployed,FP1_VSCDeployed,FP1_Yellow,FP2_RACEYEAR,FP2_RACENUMBER,FP2_AirTemp_mean,FP2_AirTemp_min,FP2_AirTemp_max,FP2_Humidity_mean,FP2_Humidity_min,FP2_Humidity_max,FP2_Pressure_mean,FP2_Pressure_min,FP2_Pressure_max,FP2_Rainfall_max,FP2_TrackTemp_mean,FP2_TrackTemp_min,FP2_TrackTemp_max,FP2_WindDirection_mean,FP2_WindSpeed_mean,FP2_WindSpeed_max,FP2_Driver,FP2_AvgPitStopDuration_ms,FP2_TotalPitStops,FP2_MaxStint_HARD,FP2_MaxStint_INTERMEDIATE,FP2_MaxStint_MEDIUM,FP2_MaxStint_SOFT,FP2_AvgTyreLife_HARD,FP2_AvgTyreLife_INTERMEDIATE,FP2_AvgTyreLife_MEDIUM,FP2_AvgTyreLife_SOFT,FP2_AvgSpeedOnTyre_HARD,FP2_AvgSpeedOnTyre_INTERMEDIATE,FP2_AvgSpeedOnTyre_MEDIUM,FP2_AvgSpeedOnTyre_SOFT,FP2_FastestSpeedOnTyre_HARD,FP2_FastestSpeedOnTyre_INTERMEDIATE,FP2_FastestSpeedOnTyre_MEDIUM,FP2_FastestSpeedOnTyre_SOFT,FP2_AvgLapTimeOnTyre_HARD,FP2_AvgLapTimeOnTyre_INTERMEDIATE,FP2_AvgLapTimeOnTyre_MEDIUM,FP2_AvgLapTimeOnTyre_SOFT,FP2_FastestLapTimeOnTyre_HARD,FP2_FastestLapTimeOnTyre_INTERMEDIATE,FP2_FastestLapTimeOnTyre_MEDIUM,FP2_FastestLapTimeOnTyre_SOFT,FP2_Red,FP2_SCDeployed,FP2_VSCDeployed,FP2_Yellow,FP3_RACEYEAR,FP3_RACENUMBER,FP3_AirTemp_mean,FP3_AirTemp_min,FP3_AirTemp_max,FP3_Humidity_mean,FP3_Humidity_min,FP3_Humidity_max,FP3_Pressure_mean,FP3_Pressure_min,FP3_Pressure_max,FP3_Rainfall_max,FP3_TrackTemp_mean,FP3_TrackTemp_min,FP3_TrackTemp_max,FP3_WindDirection_mean,FP3_WindSpeed_mean,FP3_WindSpeed_max,FP3_Driver,FP3_AvgPitStopDuration_ms,FP3_TotalPitStops,FP3_MaxStint_HARD,FP3_MaxStint_INTERMEDIATE,FP3_MaxStint_MEDIUM,FP3_MaxStint_SOFT,FP3_MaxStint_WET,FP3_AvgTyreLife_HARD,FP3_AvgTyreLife_INTERMEDIATE,FP3_AvgTyreLife_MEDIUM,FP3_AvgTyreLife_SOFT,FP3_AvgTyreLife_WET,FP3_AvgSpeedOnTyre_HARD,FP3_AvgSpeedOnTyre_INTERMEDIATE,FP3_AvgSpeedOnTyre_MEDIUM,FP3_AvgSpeedOnTyre_SOFT,FP3_AvgSpeedOnTyre_WET,FP3_FastestSpeedOnTyre_HARD,FP3_FastestSpeedOnTyre_INTERMEDIATE,FP3_FastestSpeedOnTyre_MEDIUM,FP3_FastestSpeedOnTyre_SOFT,FP3_FastestSpeedOnTyre_WET,FP3_AvgLapTimeOnTyre_HARD,FP3_AvgLapTimeOnTyre_INTERMEDIATE,FP3_AvgLapTimeOnTyre_MEDIUM,FP3_AvgLapTimeOnTyre_SOFT,FP3_AvgLapTimeOnTyre_WET,FP3_FastestLapTimeOnTyre_HARD,FP3_FastestLapTimeOnTyre_INTERMEDIATE,FP3_FastestLapTimeOnTyre_MEDIUM,FP3_FastestLapTimeOnTyre_SOFT,FP3_FastestLapTimeOnTyre_WET,FP3_Red,FP3_SCDeployed,FP3_VSCDeployed,FP3_Yellow
0,1,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,NED,1.0,2023,1,1,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,VER,435273.3333333333,3.0,,,1.0,4.0,,,,2.0,8.818181818181818,,,,280.0,276.09090909090907,,,,280.0,284.0,,,,95429.0,98008.0,,,,95429.0,93375.0,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,VER,551548.5,2.0,,,1.0,3.0,,,3.6666666666666665,9.846153846153848,,,283.6666666666667,276.84615384615387,,,284.0,284.0,,,108313.33333333331,97778.53846153848,,,92794.0,91076.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,VER,503318.49999999977,2.0,1.0,,,3.0,,4.25,,,3.5,,287.0,,,173.5,,289.0,,,285.0,,123979.0,,,111217.5,,93704.0,,,92345.0,,0.0,0.0,0.0,0.0
1,11,S PEREZ,PER,perez,Red Bull Racing,red_bull,MEX,2.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,PER,505178.0,3.0,,,2.0,4.0,,,,3.5,8.3,,,,281.5,276.3,,,,285.0,282.0,,,,94706.0,98472.3,,,,94343.0,92758.0,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,PER,353110.3333333333,3.0,,,2.0,4.0,,,3.5,10.866666666666667,,,284.5,277.1333333333333,,,285.0,285.0,,,92596.0,97587.66666666669,,,92497.0,91078.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,PER,414420.0,3.0,2.0,,,4.0,,3.5,,,3.5,,267.5,,,173.5,,285.0,,,286.0,,94572.5,,,109758.5,,94049.0,,,92446.0,,0.0,0.0,0.0,0.0
2,14,F ALONSO,ALO,alonso,Aston Martin,aston_martin,ESP,3.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,ALO,444127.3333333333,3.0,,,2.0,4.0,,,,7.5,4.0,,,,279.5,191.5,,,,282.0,283.0,,,,109913.3,117595.0,,,,94867.0,93196.0,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,ALO,390646.3333333333,3.0,,,1.0,4.0,,,4.0,9.357142857142858,,,281.2,261.7857142857143,,,286.0,284.0,,,109489.8,102831.92857142857,,,92603.0,90907.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,ALO,378436.0,3.0,,,,4.0,,,,,3.857142857142857,,,,,253.7142857142857,,,,,284.0,,,,,117537.85714285714,,,,,92340.0,,0.0,0.0,0.0,0.0
3,55,C SAINZ,SAI,sainz,Ferrari,ferrari,ESP,4.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,SAI,471617.0,3.0,,,4.0,,,,,11.25,,,,,254.58333333333331,,,,,278.0,,,,,104727.5,,,,,96072.0,,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,SAI,212567.5,4.0,,,,5.0,,,,8.263157894736842,,,,264.1578947368421,,,,287.0,,,,100505.47368421052,,,,91956.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,SAI,202946.0,4.0,,,,5.0,,,,,7.727272727272727,,,,,249.54545454545453,,,,,285.0,,,,,108389.72727272728,,,,,92945.0,,0.0,0.0,0.0,0.0
4,44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,GBR,5.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,HAM,400654.3333333333,3.0,,,4.0,,,,,4.5,,,,,281.25,,,,,285.0,,,,,99999.5,,,,,94917.0,,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,HAM,222024.75,4.0,,,,5.0,,,,8.444444444444445,,,,264.77777777777777,,,,287.0,,,,101669.83333333331,,,,91543.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,HAM,238964.75,4.0,,,,5.0,,,,,6.0,,,,,282.375,,,,,286.0,,,,,100841.5,,,,,92555.0,,0.0,0.0,0.0,0.0
5,18,L STROLL,STR,stroll,Aston Martin,aston_martin,CAN,6.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,STR,561016.0,3.0,,,2.0,4.0,,,,6.5,4.333333333333333,,,,279.8333333333333,199.66666666666663,,,,281.0,276.0,,,,112118.0,111091.0,,,,95589.0,94298.0,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,STR,298194.3333333333,3.0,,,4.0,2.0,,,11.0625,3.5,,,261.125,278.75,,,283.0,285.0,,,103831.6875,116247.0,,,93566.0,91450.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,STR,400191.0,3.0,,,,4.0,,,,,4.0,,,,,244.77777777777777,,,,,284.0,,,,,115331.11111111112,,,,,92919.0,,0.0,0.0,0.0,0.0
6,63,G RUSSELL,RUS,russell,Mercedes,mercedes,GBR,7.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,RUS,516256.5,2.0,,,3.0,,,,,5.857142857142857,,,,,262.7857142857143,,,,,288.0,,,,,105735.21428571428,,,,,94966.0,,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,RUS,344345.0,3.0,,,,4.0,,,,7.277777777777778,,,,265.27777777777777,,,,286.0,,,,106022.0,,,,91882.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,RUS,191676.0,4.0,,,,4.0,,,,,6.571428571428571,,,,,278.0,,,,,284.0,,,,,95965.71428571428,,,,,92731.0,,0.0,0.0,0.0,0.0
7,77,V BOTTAS,BOT,bottas,Alfa Romeo,alfa,FIN,8.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,BOT,318813.2,5.0,,,2.0,6.0,,,,6.0,6.0,,,,269.2,222.75,,,,274.0,278.0,,,,102194.4,105067.75,,,,97149.0,94689.0,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,BOT,182336.0,5.0,,,5.0,6.0,,,5.0,10.166666666666666,,,276.5,254.75,,,279.0,279.0,,,105985.5,101909.75,,,93708.0,91793.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,BOT,314068.5,4.0,,,,5.0,,,,,3.8,,,,,234.8,,,,,282.0,,,,,105995.6,,,,,93629.0,,0.0,0.0,0.0,0.0
8,10,P GASLY,GAS,gasly,Alpine,alpine,FRA,9.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,GAS,603693.0,2.0,,,3.0,,,,,6.466666666666667,,,,,264.8,,,,,282.0,,,,,113915.53333333334,,,,,95455.0,,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,GAS,580352.5,2.0,,,,3.0,,,,8.11111111111111,,,,264.1111111111111,,,,286.0,,,,106414.61111111112,,,,91475.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,GAS,457452.49999999977,2.0,,,,3.0,,,,,3.5,,,,,244.125,,,,,286.0,,,,,116431.0,,,,,93064.0,,0.0,0.0,0.0,0.0
9,23,A ALBON,ALB,albon,Williams,williams,THA,10.0,2023,1,0,0,1,14,15,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,Bahrain Grand Prix,conventional,afternoon,evening,afternoon,evening,evening,2023.0,1.0,26.989285714285717,26.3,27.6,12.261904761904765,11.0,14.0,1017.3142857142856,1017.2,1017.5,False,40.48214285714285,37.8,42.7,300.0952380952381,2.579761904761905,3.5,ALB,703867.6666666666,3.0,,,4.0,,,,,4.428571428571429,,,,,250.14285714285717,,,,,287.0,,,,,108091.71428571428,,,,,96018.0,,,0.0,0.0,0.0,2.0,2023.0,1.0,22.87294117647059,22.1,23.6,23.31764705882353,20.0,29.0,1018.5129411764708,1018.0,1019.0,False,26.972941176470584,25.7,28.5,244.05882352941177,1.0823529411764703,2.0,ALB,246215.66666666663,3.0,4.0,,,3.0,7.5,,,5.0,264.07142857142856,,,283.42857142857144,280.0,,,290.0,102955.35714285714,,,102883.42857142857,97320.0,,,92440.0,0.0,0.0,0.0,1.0,2023.0,1.0,28.0,27.6,28.5,19.8953488372093,14.0,26.0,1017.043023255814,1016.9,1017.2,False,40.57093023255814,38.8,42.0,299.63953488372096,1.7779069767441862,3.5,ALB,278797.0,3.0,,,,4.0,,,,,5.428571428571429,,,,,251.14285714285717,,,,,291.0,,,,,111536.0,,,,,93882.0,,0.0,0.0,0.0,0.0
