Time,Status,Message,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:13:05.932000,1,AllClear,2022,1,FP1
0 days 00:13:05.932000,2,Yellow,2022,1,FP1
0 days 00:13:05.932000,1,AllClear,2022,1,FP1
0 days 00:13:05.932000,2,Yellow,2022,1,FP1
0 days 00:13:05.932000,1,AllClear,2022,1,FP1
0 days 00:21:10.486000,2,Yellow,2022,1,FP1
0 days 00:22:21.544000,5,Red,2022,1,FP1
0 days 00:32:48.697000,1,AllClear,2022,1,FP1
0 days 00:49:14.371000,2,Yellow,2022,1,FP1
0 days 00:49:23.757000,1,AllClear,2022,1,FP1
0 days 00:58:16.485000,2,Yellow,2022,1,FP1
0 days 00:58:23.668000,1,AllClear,2022,1,FP1
0 days 01:21:58.478000,2,Yellow,2022,1,FP1
0 days 01:22:05.841000,1,AllClear,2022,1,FP1
0 days 00:00:00,2,Yellow,2022,2,FP1
0 days 00:02:08.398000,1,AllClear,2022,2,FP1
0 days 00:32:02.444000,5,Red,2022,2,FP1
0 days 00:39:36.277000,1,AllClear,2022,2,FP1
0 days 00:52:42.679000,2,Yellow,2022,2,FP1
0 days 00:52:46.555000,1,AllClear,2022,2,FP1
0 days 00:00:00,4,SCDeployed,2022,3,FP1
0 days 00:00:48.586000,1,AllClear,2022,3,FP1
0 days 00:08:48.088000,2,Yellow,2022,3,FP1
0 days 00:09:17.840000,1,AllClear,2022,3,FP1
0 days 00:35:44.798000,5,Red,2022,3,FP1
0 days 00:37:19.947000,1,AllClear,2022,3,FP1
0 days 00:52:41.647000,2,Yellow,2022,3,FP1
0 days 00:52:53.488000,1,AllClear,2022,3,FP1
0 days 01:00:19.359000,2,Yellow,2022,3,FP1
0 days 01:00:27.708000,5,Red,2022,3,FP1
0 days 01:03:45.277000,1,AllClear,2022,3,FP1
0 days 00:00:00,1,AllClear,2022,4,FP1
0 days 00:23:29.218000,2,Yellow,2022,4,FP1
0 days 00:23:33.507000,1,AllClear,2022,4,FP1
0 days 00:24:44.972000,2,Yellow,2022,4,FP1
0 days 00:24:55.055000,1,AllClear,2022,4,FP1
0 days 00:27:11.615000,2,Yellow,2022,4,FP1
0 days 00:27:20.096000,1,AllClear,2022,4,FP1
0 days 00:36:47.569000,2,Yellow,2022,4,FP1
0 days 00:36:55.151000,1,AllClear,2022,4,FP1
0 days 00:54:41.017000,2,Yellow,2022,4,FP1
0 days 00:54:44.890000,1,AllClear,2022,4,FP1
0 days 00:59:24.537000,2,Yellow,2022,4,FP1
0 days 00:59:34.822000,1,AllClear,2022,4,FP1
0 days 01:09:18.205000,2,Yellow,2022,4,FP1
0 days 01:09:32.176000,5,Red,2022,4,FP1
0 days 01:11:28.825000,1,AllClear,2022,4,FP1
0 days 01:16:41.580000,2,Yellow,2022,4,FP1
0 days 00:00:00,4,SCDeployed,2022,5,FP1
0 days 00:04:53.851000,1,AllClear,2022,5,FP1
0 days 00:21:22.214000,2,Yellow,2022,5,FP1
0 days 00:21:25.888000,1,AllClear,2022,5,FP1
0 days 00:21:36.921000,2,Yellow,2022,5,FP1
0 days 00:21:55.597000,1,AllClear,2022,5,FP1
0 days 00:49:36.389000,2,Yellow,2022,5,FP1
0 days 00:50:02.460000,5,Red,2022,5,FP1
0 days 00:57:58.437000,1,AllClear,2022,5,FP1
0 days 01:01:19.485000,2,Yellow,2022,5,FP1
0 days 01:01:23.605000,1,AllClear,2022,5,FP1
0 days 00:00:00,1,AllClear,2022,6,FP1
0 days 01:17:25.452000,2,Yellow,2022,6,FP1
0 days 01:17:40.374000,1,AllClear,2022,6,FP1
0 days 00:00:00,1,AllClear,2022,7,FP1
0 days 00:30:47.002000,2,Yellow,2022,7,FP1
0 days 00:30:54.574000,1,AllClear,2022,7,FP1
0 days 00:33:52.413000,2,Yellow,2022,7,FP1
