Time,Status,Message,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:00:00,1,AllClear,2023,1,Q
0 days 00:19:37.154000,5,Red,2023,1,Q
0 days 00:23:35.635000,1,AllClear,2023,1,Q
0 days 00:09:31.624000,2,Yellow,2023,2,Q
0 days 00:09:31.624000,1,AllClear,2023,2,Q
0 days 00:12:03.273000,2,Yellow,2023,2,Q
0 days 00:12:25.320000,1,AllClear,2023,2,Q
0 days 00:28:38.933000,2,Yellow,2023,2,Q
0 days 00:29:08.558000,1,AllClear,2023,2,Q
0 days 00:34:42.492000,2,Yellow,2023,2,Q
0 days 00:36:18.584000,1,AllClear,2023,2,Q
0 days 00:46:26.312000,2,Yellow,2023,2,Q
0 days 00:46:29.093000,1,AllClear,2023,2,Q
0 days 01:19:42.758000,2,Yellow,2023,2,Q
0 days 00:00:00,1,AllClear,2023,3,Q
0 days 00:19:04.549000,2,Yellow,2023,3,Q
0 days 00:19:13.721000,1,AllClear,2023,3,Q
0 days 00:20:40.017000,2,Yellow,2023,3,Q
0 days 00:20:49.907000,5,Red,2023,3,Q
0 days 00:25:45.201000,1,AllClear,2023,3,Q
0 days 00:43:14.908000,2,Yellow,2023,3,Q
0 days 00:46:14.093000,1,AllClear,2023,3,Q
0 days 00:51:00.918000,2,Yellow,2023,3,Q
0 days 00:51:02.387000,1,AllClear,2023,3,Q
0 days 01:04:47.096000,2,Yellow,2023,3,Q
0 days 01:08:40.687000,1,AllClear,2023,3,Q
0 days 01:24:59.520000,2,Yellow,2023,3,Q
0 days 01:30:49.953000,1,AllClear,2023,3,Q
0 days 01:30:52.609000,2,Yellow,2023,3,Q
0 days 01:30:58.937000,1,AllClear,2023,3,Q
0 days 00:00:00,1,AllClear,2023,4,Q
0 days 00:10:43.790000,2,Yellow,2023,4,Q
0 days 00:10:53.993000,1,AllClear,2023,4,Q
0 days 00:11:10.477000,2,Yellow,2023,4,Q
0 days 00:11:19.602000,1,AllClear,2023,4,Q
0 days 00:11:48.274000,2,Yellow,2023,4,Q
0 days 00:12:04.351000,1,AllClear,2023,4,Q
0 days 00:17:03.286000,2,Yellow,2023,4,Q
0 days 00:17:11.364000,1,AllClear,2023,4,Q
0 days 00:19:24.003000,2,Yellow,2023,4,Q
0 days 00:19:29.596000,1,AllClear,2023,4,Q
0 days 00:21:52.267000,2,Yellow,2023,4,Q
0 days 00:22:12.907000,5,Red,2023,4,Q
0 days 00:35:20.851000,1,AllClear,2023,4,Q
0 days 00:41:06.597000,2,Yellow,2023,4,Q
0 days 00:41:13.254000,5,Red,2023,4,Q
0 days 00:48:54.780000,1,AllClear,2023,4,Q
0 days 00:51:33.903000,2,Yellow,2023,4,Q
