Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:00:41.425000,24.7,17.0,1017.5,False,29.8,338,0.8,2023,1,Q
0 days 00:01:41.221000,24.6,17.0,1017.5,False,29.7,17,0.8,2023,1,Q
0 days 00:02:41.235000,24.6,17.0,1017.5,False,29.6,323,0.5,2023,1,Q
0 days 00:03:41.250000,24.6,17.0,1017.5,False,29.6,345,1.0,2023,1,Q
0 days 00:04:41.264000,24.6,18.0,1017.4,False,29.5,355,0.8,2023,1,Q
0 days 00:05:41.263000,24.5,18.0,1017.5,False,29.5,345,0.8,2023,1,Q
0 days 00:06:41.262000,24.5,17.0,1017.5,False,29.4,351,1.2,2023,1,Q
0 days 00:07:41.261000,24.4,17.0,1017.4,False,29.4,357,1.2,2023,1,Q
0 days 00:08:41.260000,24.4,17.0,1017.5,False,29.3,328,0.8,2023,1,Q
0 days 00:09:41.259000,24.4,17.0,1017.5,False,29.3,340,1.1,2023,1,Q
0 days 00:10:41.258000,24.4,17.0,1017.5,False,29.3,325,1.0,2023,1,Q
0 days 00:11:41.257000,24.4,17.0,1017.5,False,29.2,350,0.8,2023,1,Q
0 days 00:12:41.256000,24.4,16.0,1017.5,False,29.2,345,1.1,2023,1,Q
0 days 00:13:41.255000,24.3,17.0,1017.5,False,29.1,9,1.0,2023,1,Q
0 days 00:14:41.254000,24.3,17.0,1017.5,False,29.0,47,0.6,2023,1,Q
0 days 00:15:41.252000,24.3,17.0,1017.5,False,29.0,316,0.4,2023,1,Q
0 days 00:16:41.251000,24.4,17.0,1017.5,False,29.1,0,0.4,2023,1,Q
0 days 00:17:41.266000,24.4,16.0,1017.5,False,29.1,109,0.0,2023,1,Q
0 days 00:18:41.249000,24.4,17.0,1017.5,False,29.1,23,0.4,2023,1,Q
0 days 00:19:41.264000,24.4,17.0,1017.5,False,29.1,0,0.0,2023,1,Q
0 days 00:20:41.263000,24.3,16.0,1017.5,False,29.1,133,0.0,2023,1,Q
0 days 00:21:41.277000,24.3,17.0,1017.5,False,28.9,174,0.6,2023,1,Q
0 days 00:22:41.292000,24.3,16.0,1017.5,False,29.0,217,0.4,2023,1,Q
0 days 00:23:41.291000,24.3,16.0,1017.5,False,29.0,71,0.0,2023,1,Q
0 days 00:24:41.290000,24.4,16.0,1017.5,False,29.0,0,0.8,2023,1,Q
0 days 00:25:41.304000,24.4,16.0,1017.5,False,29.0,330,0.0,2023,1,Q
0 days 00:26:41.303000,24.4,15.0,1017.5,False,29.0,344,0.5,2023,1,Q
0 days 00:27:41.318000,24.3,15.0,1017.5,False,28.9,352,0.8,2023,1,Q
0 days 00:28:41.332000,24.3,16.0,1017.5,False,28.7,319,0.6,2023,1,Q
0 days 00:29:41.347000,24.3,16.0,1017.5,False,28.7,344,0.6,2023,1,Q
0 days 00:30:41.346000,24.2,16.0,1017.5,False,28.7,352,0.6,2023,1,Q
0 days 00:31:41.344000,24.3,16.0,1017.5,False,28.7,333,0.4,2023,1,Q
0 days 00:32:41.343000,24.3,16.0,1017.5,False,28.6,130,0.8,2023,1,Q
0 days 00:33:41.374000,24.4,16.0,1017.5,False,28.7,124,0.3,2023,1,Q
0 days 00:34:41.372000,24.4,16.0,1017.7,False,28.6,0,0.5,2023,1,Q
0 days 00:35:41.387000,24.4,16.0,1017.7,False,28.6,0,0.4,2023,1,Q
0 days 00:36:41.386000,24.4,15.0,1017.7,False,28.7,41,0.0,2023,1,Q
0 days 00:37:41.385000,24.3,15.0,1017.5,False,28.7,317,0.0,2023,1,Q
0 days 00:38:41.384000,24.2,15.0,1017.7,False,28.6,94,0.6,2023,1,Q
0 days 00:39:41.383000,24.1,16.0,1017.5,False,28.6,77,0.5,2023,1,Q
0 days 00:40:41.382000,24.1,15.0,1017.5,False,28.4,13,0.5,2023,1,Q
0 days 00:41:41.380000,24.1,15.0,1017.7,False,28.4,291,0.8,2023,1,Q
0 days 00:42:41.379000,24.0,16.0,1017.7,False,28.4,0,0.6,2023,1,Q
0 days 00:43:41.378000,24.1,16.0,1017.7,False,28.3,0,0.4,2023,1,Q
0 days 00:44:41.377000,24.2,16.0,1017.7,False,28.3,184,0.0,2023,1,Q
0 days 00:45:41.376000,24.1,17.0,1017.7,False,28.3,105,0.3,2023,1,Q
0 days 00:46:41.391000,24.0,17.0,1017.7,False,28.2,0,0.0,2023,1,Q
0 days 00:47:41.390000,24.0,17.0,1017.7,False,28.2,0,0.5,2023,1,Q
0 days 00:48:41.404000,24.0,17.0,1017.7,False,28.2,339,0.6,2023,1,Q
0 days 00:49:41.419000,24.0,17.0,1017.7,False,28.1,128,0.6,2023,1,Q
0 days 00:50:41.433000,24.0,18.0,1017.7,False,28.1,320,0.3,2023,1,Q
0 days 00:51:41.448000,23.9,18.0,1017.7,False,28.0,21,0.5,2023,1,Q
0 days 00:52:41.462000,23.9,19.0,1017.7,False,27.9,323,0.6,2023,1,Q
0 days 00:53:41.477000,23.8,20.0,1017.7,False,27.9,123,0.6,2023,1,Q
0 days 00:54:41.491000,23.8,20.0,1017.7,False,27.8,342,0.5,2023,1,Q
0 days 00:55:41.490000,23.8,20.0,1017.7,False,27.8,238,0.0,2023,1,Q
0 days 00:56:41.474000,23.9,20.0,1017.7,False,27.7,0,0.4,2023,1,Q
0 days 00:57:41.472000,23.9,20.0,1017.9,False,27.7,0,0.0,2023,1,Q
0 days 00:58:41.471000,23.8,20.0,1017.9,False,27.7,180,0.0,2023,1,Q
0 days 00:59:41.517000,23.8,20.0,1017.9,False,27.7,0,0.4,2023,1,Q
0 days 01:00:41.735000,23.7,21.0,1017.9,False,27.7,268,0.0,2023,1,Q
0 days 01:01:41.499000,23.6,21.0,1017.7,False,27.6,319,0.8,2023,1,Q
0 days 01:02:41.514000,23.6,21.0,1017.7,False,27.6,310,0.8,2023,1,Q
0 days 01:03:41.513000,23.6,23.0,1017.7,False,27.5,294,0.6,2023,1,Q
0 days 01:04:41.543000,23.6,24.0,1017.7,False,27.4,90,0.5,2023,1,Q
0 days 01:05:41.511000,23.6,26.0,1017.7,False,27.4,0,0.5,2023,1,Q
0 days 01:06:41.510000,23.6,26.0,1017.7,False,27.3,0,0.0,2023,1,Q
0 days 01:07:41.508000,23.5,26.0,1017.7,False,27.3,293,0.0,2023,1,Q
0 days 01:08:41.507000,23.5,27.0,1017.7,False,27.4,323,0.6,2023,1,Q
0 days 01:09:41.506000,23.5,28.0,1017.7,False,27.3,321,0.8,2023,1,Q
0 days 01:10:41.505000,23.4,28.0,1017.7,False,27.3,358,1.0,2023,1,Q
0 days 01:11:41.504000,23.3,29.0,1017.7,False,27.3,220,0.8,2023,1,Q
0 days 01:12:41.503000,23.3,29.0,1017.7,False,27.1,310,0.5,2023,1,Q
0 days 01:13:41.518000,23.2,30.0,1017.7,False,27.1,321,0.8,2023,1,Q
0 days 01:14:41.501000,23.2,30.0,1017.7,False,27.0,322,0.8,2023,1,Q
0 days 01:15:41.500000,23.1,31.0,1017.7,False,26.9,338,1.3,2023,1,Q
0 days 01:16:41.514000,23.1,31.0,1017.7,False,26.8,334,0.8,2023,1,Q
0 days 01:17:41.513000,23.1,32.0,1017.7,False,26.8,335,0.8,2023,1,Q
0 days 01:18:41.512000,23.1,32.0,1017.7,False,26.8,343,1.0,2023,1,Q
0 days 01:19:41.527000,23.1,32.0,1017.7,False,26.8,346,1.0,2023,1,Q
0 days 01:20:41.588000,23.1,33.0,1017.9,False,26.8,319,1.2,2023,1,Q
0 days 01:21:41.556000,23.1,33.0,1017.7,False,26.8,327,1.1,2023,1,Q
0 days 01:22:41.555000,23.1,33.0,1017.7,False,26.7,331,0.8,2023,1,Q
0 days 01:23:41.569000,23.0,33.0,1017.9,False,26.6,329,0.8,2023,1,Q
0 days 01:24:41.599000,23.1,33.0,1017.7,False,26.6,293,0.8,2023,1,Q
0 days 01:25:41.598000,23.1,33.0,1017.7,False,26.7,20,0.6,2023,1,Q
0 days 01:26:41.613000,23.1,33.0,1017.7,False,26.7,0,0.6,2023,1,Q
0 days 01:27:42.190000,23.1,33.0,1017.7,False,26.7,337,0.6,2023,1,Q
0 days 01:28:41.626000,23.1,33.0,1017.7,False,26.7,313,1.1,2023,1,Q
0 days 01:29:41.625000,23.1,33.0,1017.7,False,26.7,318,1.1,2023,1,Q
0 days 01:30:41.640000,23.1,33.0,1017.9,False,26.7,0,1.1,2023,1,Q
0 days 01:31:41.639000,23.1,33.0,1017.9,False,26.7,311,0.4,2023,1,Q
0 days 01:32:41.638000,23.1,33.0,1017.9,False,26.7,318,1.2,2023,1,Q
0 days 01:33:41.637000,23.1,33.0,1017.9,False,26.7,332,1.0,2023,1,Q
0 days 01:34:41.635000,23.1,34.0,1017.7,False,26.7,335,1.2,2023,1,Q
0 days 00:00:55.250000,27.0,48.0,1010.2,False,32.4,320,2.0,2023,2,Q
0 days 00:01:55.280000,27.0,48.0,1010.2,False,32.4,328,1.8,2023,2,Q
0 days 00:02:55.264000,27.0,48.0,1010.2,False,32.4,320,1.6,2023,2,Q
0 days 00:03:55.263000,27.0,48.0,1010.2,False,32.4,303,2.0,2023,2,Q
0 days 00:04:55.262000,27.0,49.0,1010.2,False,32.4,307,1.8,2023,2,Q
0 days 00:05:55.262000,27.0,48.0,1010.2,False,32.4,327,1.8,2023,2,Q
0 days 00:06:55.261000,27.0,48.0,1010.2,False,32.3,316,1.7,2023,2,Q
0 days 00:07:55.260000,27.0,49.0,1010.2,False,32.3,312,1.8,2023,2,Q
0 days 00:08:55.260000,27.0,48.0,1010.2,False,32.3,310,2.0,2023,2,Q
0 days 00:09:55.259000,26.9,49.0,1010.2,False,32.0,319,1.7,2023,2,Q
0 days 00:10:55.258000,26.9,49.0,1010.2,False,32.2,326,2.4,2023,2,Q
0 days 00:11:55.258000,26.9,49.0,1010.2,False,32.2,331,1.8,2023,2,Q
0 days 00:12:55.257000,26.9,50.0,1010.2,False,32.0,326,2.0,2023,2,Q
0 days 00:13:55.256000,26.9,49.0,1010.2,False,32.0,309,2.2,2023,2,Q
0 days 00:14:55.255000,26.9,49.0,1010.2,False,32.3,311,1.8,2023,2,Q
0 days 00:15:55.255000,26.9,49.0,1010.2,False,31.9,322,2.0,2023,2,Q
0 days 00:16:55.285000,26.8,49.0,1010.2,False,31.9,305,2.7,2023,2,Q
0 days 00:17:55.253000,26.8,50.0,1010.2,False,31.9,319,2.7,2023,2,Q
0 days 00:18:55.253000,26.9,49.0,1010.2,False,32.1,321,2.0,2023,2,Q
0 days 00:19:55.268000,27.0,49.0,1010.2,False,32.1,320,1.7,2023,2,Q
0 days 00:20:55.267000,27.0,49.0,1010.2,False,32.1,328,1.3,2023,2,Q
0 days 00:21:55.266000,27.1,49.0,1010.0,False,32.3,312,1.2,2023,2,Q
0 days 00:22:55.266000,27.1,49.0,1010.2,False,32.3,0,1.8,2023,2,Q
0 days 00:23:55.265000,27.2,48.0,1010.2,False,32.3,110,1.1,2023,2,Q
0 days 00:24:55.264000,27.3,47.0,1010.2,False,32.4,293,1.1,2023,2,Q
0 days 00:25:55.263000,27.3,45.0,1010.2,False,32.3,316,1.1,2023,2,Q
0 days 00:26:55.263000,27.3,45.0,1010.4,False,32.3,82,0.8,2023,2,Q
0 days 00:27:55.246000,27.4,44.0,1010.5,False,32.3,288,1.2,2023,2,Q
0 days 00:28:55.261000,27.3,46.0,1010.4,False,32.1,315,1.3,2023,2,Q
0 days 00:29:55.276000,27.2,46.0,1010.4,False,31.9,292,1.0,2023,2,Q
0 days 00:30:55.291000,27.2,45.0,1010.4,False,31.9,314,1.3,2023,2,Q
0 days 00:31:55.291000,27.3,44.0,1010.4,False,32.0,74,1.3,2023,2,Q
0 days 00:32:55.306000,27.2,44.0,1010.5,False,32.2,324,0.8,2023,2,Q
0 days 00:33:55.305000,27.3,43.0,1010.5,False,32.0,293,1.3,2023,2,Q
0 days 00:34:55.304000,27.4,42.0,1010.4,False,32.0,281,1.1,2023,2,Q
0 days 00:35:55.319000,27.4,41.0,1010.5,False,32.0,294,1.0,2023,2,Q
0 days 00:36:55.334000,27.4,41.0,1010.7,False,31.9,292,0.8,2023,2,Q
0 days 00:37:55.349000,27.4,41.0,1010.5,False,31.9,303,1.5,2023,2,Q
0 days 00:38:55.348000,27.2,41.0,1010.5,False,31.8,310,1.2,2023,2,Q
0 days 00:39:55.348000,27.1,41.0,1010.5,False,31.7,1,1.1,2023,2,Q
0 days 00:40:55.362000,27.1,41.0,1010.5,False,31.4,325,1.0,2023,2,Q
0 days 00:41:55.362000,27.0,41.0,1010.5,False,31.4,323,2.0,2023,2,Q
0 days 00:42:55.345000,27.0,41.0,1010.5,False,31.4,301,1.7,2023,2,Q
0 days 00:43:55.376000,27.0,41.0,1010.5,False,31.4,326,2.2,2023,2,Q
0 days 00:44:55.375000,27.0,41.0,1010.5,False,31.5,315,2.2,2023,2,Q
0 days 00:45:55.375000,27.1,41.0,1010.7,False,31.6,82,0.8,2023,2,Q
0 days 00:46:55.390000,27.2,40.0,1010.7,False,31.6,297,1.2,2023,2,Q
0 days 00:47:55.420000,27.3,41.0,1010.7,False,31.7,320,1.2,2023,2,Q
0 days 00:48:55.388000,27.3,41.0,1010.7,False,31.6,0,1.1,2023,2,Q
0 days 00:49:55.387000,27.2,41.0,1010.7,False,31.5,329,0.6,2023,2,Q
0 days 00:50:55.387000,27.2,41.0,1010.5,False,31.3,346,1.2,2023,2,Q
0 days 00:51:55.386000,27.1,41.0,1010.5,False,31.3,292,1.1,2023,2,Q
0 days 00:52:55.385000,27.1,41.0,1010.5,False,31.2,0,1.8,2023,2,Q
0 days 00:53:55.385000,27.1,41.0,1010.7,False,31.3,83,1.1,2023,2,Q
0 days 00:54:55.384000,27.1,41.0,1010.7,False,31.5,316,0.8,2023,2,Q
0 days 00:55:55.399000,27.1,41.0,1010.7,False,31.5,62,1.5,2023,2,Q
0 days 00:56:55.414000,27.1,42.0,1010.7,False,31.5,321,0.8,2023,2,Q
0 days 00:57:55.429000,27.1,42.0,1010.5,False,31.3,320,1.5,2023,2,Q
0 days 00:58:55.428000,27.1,43.0,1010.7,False,31.2,303,1.8,2023,2,Q
0 days 00:59:55.427000,27.1,43.0,1010.7,False,31.2,328,1.8,2023,2,Q
0 days 01:00:55.427000,27.0,43.0,1010.7,False,31.1,318,1.6,2023,2,Q
0 days 01:01:55.442000,27.0,43.0,1010.7,False,31.1,322,1.6,2023,2,Q
0 days 01:02:55.457000,26.8,43.0,1010.7,False,31.1,335,1.2,2023,2,Q
0 days 01:03:55.472000,26.8,43.0,1010.9,False,31.1,288,1.7,2023,2,Q
0 days 01:04:55.487000,26.8,44.0,1010.7,False,31.1,316,2.2,2023,2,Q
0 days 01:05:55.470000,26.7,44.0,1010.7,False,31.0,330,2.4,2023,2,Q
