Time,Status,Message,RACEYEAR,RACENUMBER,SESSIONTYPE
0 days 00:13:36.667000,1,AllClear,2022,1,R
0 days 01:25:49.895000,2,Yellow,2022,1,R
0 days 01:25:58.557000,1,AllClear,2022,1,R
0 days 02:17:19.828000,6,VSCDeployed,2022,1,R
0 days 02:17:39.726000,4,SCDeployed,2022,1,R
0 days 02:28:54.157000,1,AllClear,2022,1,R
0 days 02:38:53.199000,2,Yellow,2022,1,R
0 days 00:00:00,1,AllClear,2022,2,R
0 days 00:01:46.583000,2,Yellow,2022,2,R
0 days 00:11:00.955000,1,AllClear,2022,2,R
0 days 00:24:06.423000,2,Yellow,2022,2,R
0 days 00:31:02.766000,1,AllClear,2022,2,R
0 days 01:27:06.240000,2,Yellow,2022,2,R
0 days 01:27:32.923000,6,VSCDeployed,2022,2,R
0 days 01:27:51.962000,4,SCDeployed,2022,2,R
0 days 01:38:40.471000,1,AllClear,2022,2,R
0 days 02:05:13.559000,2,Yellow,2022,2,R
0 days 02:06:20.738000,6,VSCDeployed,2022,2,R
0 days 02:11:24.173000,7,VSCEnding,2022,2,R
0 days 02:11:36.808000,1,AllClear,2022,2,R
0 days 02:23:32.259000,2,Yellow,2022,2,R
0 days 02:23:39.541000,1,AllClear,2022,2,R
0 days 02:23:40.529000,2,Yellow,2022,2,R
0 days 02:23:48.232000,1,AllClear,2022,2,R
0 days 02:24:12.424000,2,Yellow,2022,2,R
0 days 00:11:29.385000,1,AllClear,2022,3,R
0 days 01:04:51.877000,2,Yellow,2022,3,R
0 days 01:05:47.999000,6,VSCDeployed,2022,3,R
0 days 01:06:34.882000,4,SCDeployed,2022,3,R
0 days 01:13:33.242000,1,AllClear,2022,3,R
0 days 01:37:24.288000,2,Yellow,2022,3,R
0 days 01:37:26.582000,1,AllClear,2022,3,R
0 days 01:37:28.643000,2,Yellow,2022,3,R
0 days 01:37:40.082000,4,SCDeployed,2022,3,R
0 days 01:45:30.263000,1,AllClear,2022,3,R
0 days 02:02:57.882000,6,VSCDeployed,2022,3,R
0 days 02:04:42.705000,7,VSCEnding,2022,3,R
0 days 02:04:56.094000,1,AllClear,2022,3,R
0 days 02:32:54.609000,2,Yellow,2022,3,R
0 days 02:32:56.747000,1,AllClear,2022,3,R
0 days 02:33:25.544000,2,Yellow,2022,3,R
0 days 02:35:21.742000,1,AllClear,2022,3,R
0 days 00:00:00,1,AllClear,2022,4,R
0 days 01:02:23.363000,2,Yellow,2022,4,R
0 days 01:03:13.645000,4,SCDeployed,2022,4,R
0 days 01:10:53.647000,1,AllClear,2022,4,R
0 days 01:42:12.719000,2,Yellow,2022,4,R
0 days 01:42:19.717000,1,AllClear,2022,4,R
0 days 02:20:45.792000,2,Yellow,2022,4,R
0 days 02:20:55.223000,1,AllClear,2022,4,R
0 days 00:02:08.769000,1,AllClear,2022,5,R
0 days 01:33:01.398000,2,Yellow,2022,5,R
0 days 01:33:11.895000,1,AllClear,2022,5,R
0 days 02:05:28.249000,2,Yellow,2022,5,R
0 days 02:05:28.608000,6,VSCDeployed,2022,5,R
0 days 02:06:49.739000,4,SCDeployed,2022,5,R
0 days 02:19:42.516000,1,AllClear,2022,5,R
0 days 02:20:09.086000,2,Yellow,2022,5,R
0 days 02:20:10.661000,1,AllClear,2022,5,R
0 days 02:31:02.228000,2,Yellow,2022,5,R
0 days 02:31:09.097000,1,AllClear,2022,5,R
0 days 02:34:58.268000,2,Yellow,2022,5,R
0 days 02:34:59.877000,1,AllClear,2022,5,R
0 days 00:00:00,2,Yellow,2022,6,R
0 days 00:07:30.185000,1,AllClear,2022,6,R
