X,Y,Number,Letter,Angle,Distance,RACEYEAR,RACENUMBER,SESSIONTYPE
42.40593929993702,8329.202564224179,1,,-246.61531114606282,715.6319645992706,2022,1,R
820.7816212551479,7879.043840540197,2,,-101.17746928558444,805.5742840946273,2022,1,R
1912.969997301606,8065.44216673751,3,,-261.39456176357044,931.954035862555,2022,1,R
7487.745292571566,6790.71071569364,4,,-349.5990658655476,1508.776532848714,2022,1,R
5820.228442599813,4860.740936217904,5,,-211.50159707799352,1787.334524435373,2022,1,R
5180.404120509692,4214.598861214608,6,,-76.37444237537011,1873.916142443313,2022,1,R
4276.202937249183,4156.240630824386,7,,-258.95337199513926,1971.735471419771,2022,1,R
2490.099010685538,2458.6003965290042,8,,-114.65430945303928,2212.912143915822,2022,1,R
2711.1552878922835,5950.242339493996,9,,-344.90795562972295,2576.568105723309,2022,1,R
2100.132715648695,6613.999850943207,10,,-270.0220000651102,2679.6487336778205,2022,1,R
2120.9852205176358,-663.9950720811103,11,,-100.99967138579512,3457.2079980711974,2022,1,R
4981.251161545602,1603.7476220625608,12,,-272.81282353019,3857.694559638592,2022,1,R
6665.934072283377,449.2756371061455,13,,-358.727848261899,4065.724473959217,2022,1,R
-145.4124578081196,-3472.8085483980503,14,,-110.52153187970453,4863.322601098538,2022,1,R
-552.8126057447134,-2803.66625094119,15,,-169.0619991685993,4953.137580887393,2022,1,R
-2908.523056214108,4757.490498091253,1,,69.13662878898232,486.62132190475126,2022,2,R
-3463.1717202600994,4834.551790013647,2,,40.81141650006943,543.4844962989505,2022,2,R
-3333.3247695142136,6205.801601139092,3,,-3.557132416786196,679.5945795755548,2022,2,R
-3726.8753781951586,9192.730296885,4,,47.148851941157076,983.4700153598769,2022,2,R
-4503.338061486339,9863.121848255349,5,,22.80346716811735,1093.6669648455925,2022,2,R
-4285.277170059697,11311.588157372298,6,,-17.739135074836348,1236.3448161781093,2022,2,R
-4405.375789032021,12447.507360095766,7,,22.025440260194003,1351.4556555550164,2022,2,R
-4926.6524289887675,12948.264921924423,8,,28.39364193520494,1436.8542871490358,2022,2,R
-4851.685765788991,14451.23927618633,9,,141.24659981410446,1586.8157500948168,2022,2,R
-4049.885091566999,15075.214007695733,10,,-33.91941351687294,1691.2849599430137,2022,2,R
-3793.6155931845055,16049.942225670482,11,,-14.63405531867106,1793.8920371965223,2022,2,R
-3573.7348764062713,16904.96513044109,12,,-9.142795149235376,1878.4954152933708,2022,2,R
-4317.586218963094,21791.136106267713,13,,102.44055797680988,2415.5294043699373,2022,2,R
-4128.693808130403,18964.562668757066,14,,-173.05277545528216,2717.178014956665,2022,2,R
-4524.771575373783,16996.49388114333,15,,-204.52800951234912,2927.2083785484674,2022,2,R
-4900.2146767086415,15776.132943023345,16,,140.97019409517907,3060.739254014794,2022,2,R
-5687.898927810389,15233.132054777167,17,,-210.22979994929267,3163.3614239664007,2022,2,R
-5575.506518373531,13034.768132909623,18,,-160.33138124745375,3365.8063800262507,2022,2,R
-4995.647738092284,11155.10295548154,19,,-175.76376667524812,3576.148998677115,2022,2,R
-4663.182729865367,9118.43162273858,20,,-156.8365303890967,3790.634553268489,2022,2,R
-3883.815484557315,7285.573383855088,21,,-171.2512867068793,3999.3824283672047,2022,2,R
-3912.876567276061,4866.397794696875,22,,-168.83778606792842,4225.123555035286,2022,2,R
-3409.812556762191,4155.133314899098,23,,-134.08095044212348,4324.330707444386,2022,2,R
