,DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamId,CountryCode,Position,ClassifiedPosition,GridPosition,Time,Status,Points,RACEYEAR,RACENUMBER,WinnerTime,WinnerDriver,Racepace,IsWinnerFlag,RACE_AirTemp_mean,RACE_AirTemp_min,RACE_AirTemp_max,RACE_Humidity_mean,RACE_Humidity_min,RACE_Humidity_max,RACE_Pressure_mean,RACE_Pressure_min,RACE_Pressure_max,RACE_Rainfall_max,RACE_TrackTemp_mean,RACE_TrackTemp_min,RACE_TrackTemp_max,RACE_WindDirection_mean,RACE_WindSpeed_mean,RACE_WindSpeed_max,RACE_SESSIONTYPE_first,Driver_x,AvgPitStopDuration_ms,TotalPitStops,Driver_y,RACE_AvgTyreLife_HARD,RACE_AvgTyreLife_INTERMEDIATE,RACE_AvgTyreLife_MEDIUM,RACE_AvgTyreLife_SOFT,RACE_AvgTyreLife_UNKNOWN,RACE_AvgTyreLife_WET,RACE_AvgSpeedOnTyre_HARD,RACE_AvgSpeedOnTyre_INTERMEDIATE,RACE_AvgSpeedOnTyre_MEDIUM,RACE_AvgSpeedOnTyre_SOFT,RACE_AvgSpeedOnTyre_UNKNOWN,RACE_AvgSpeedOnTyre_WET,RACE_AvgLapTimeOnTyre_HARD,RACE_AvgLapTimeOnTyre_INTERMEDIATE,RACE_AvgLapTimeOnTyre_MEDIUM,RACE_AvgLapTimeOnTyre_SOFT,RACE_AvgLapTimeOnTyre_UNKNOWN,RACE_AvgLapTimeOnTyre_WET,RACE_Red,RACE_SCDeployed,RACE_VSCDeployed,RACE_Yellow,fast,medium,slow,TotalCorners
0,1,M VERSTAPPEN,VER,max_verstappen,Red Bull Racing,red_bull,NED,1.0,1,1.0,5636736.0,Finished,25.0,2023,1,5636736.0,max_verstappen,1.0,1,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,VER,24617.0,2.0,VER,11.0,,,11.11111111111111,,,277.2857142857143,,,280.05882352941177,,,99.34709523809525,,,98.62352777777778,,,0,0,1,4,0.0,1.0,14.0,15.0
1,11,S PEREZ,PER,perez,Red Bull Racing,red_bull,MEX,2.0,2,2.0,11987.0,Finished,18.0,2023,1,5636736.0,max_verstappen,0.0021265853146217955,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,PER,24671.5,2.0,PER,12.0,,,11.5,,,276.1304347826087,,,281.375,,,99.13417391304347,,,99.07755882352942,,,0,0,1,4,0.0,1.0,14.0,15.0
2,14,F ALONSO,ALO,alonso,Aston Martin,aston_martin,ESP,3.0,3,5.0,38637.0,Finished,15.0,2023,1,5636736.0,max_verstappen,0.00685449877375843,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,ALO,25312.5,2.0,ALO,11.30232558139535,,,10.5,,,281.35714285714283,,,280.84615384615387,,,99.28346511627906,,,100.44171428571427,,,0,0,1,4,0.0,1.0,14.0,15.0
3,55,C SAINZ,SAI,sainz,Ferrari,ferrari,ESP,4.0,4,4.0,48052.0,Finished,12.0,2023,1,5636736.0,max_verstappen,0.008524791652474056,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,SAI,24390.5,2.0,SAI,11.863636363636363,,,10.0,,,281.86046511627904,,,281.1666666666667,,,99.63870454545454,,,100.0526923076923,,,0,0,1,4,0.0,1.0,14.0,15.0
4,44,L HAMILTON,HAM,hamilton,Mercedes,mercedes,GBR,5.0,5,7.0,50977.0,Finished,10.0,2023,1,5636736.0,max_verstappen,0.009043708983354905,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,HAM,24663.0,2.0,HAM,12.2,,,9.5,,,284.70454545454544,,,281.3636363636364,,,99.64502222222222,,,100.30725000000001,,,0,0,1,4,0.0,1.0,14.0,15.0
5,18,L STROLL,STR,stroll,Aston Martin,aston_martin,CAN,6.0,6,8.0,54502.0,Finished,8.0,2023,1,5636736.0,max_verstappen,0.009669070894929264,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,STR,25030.5,2.0,STR,11.857142857142858,,,11.0,,,280.5609756097561,,,280.2857142857143,,,99.58283333333334,,,100.58393333333333,,,0,0,1,4,0.0,1.0,14.0,15.0
6,63,G RUSSELL,RUS,russell,Mercedes,mercedes,GBR,7.0,7,6.0,55873.0,Finished,6.0,2023,1,5636736.0,max_verstappen,0.009912296761813929,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,RUS,25687.0,2.0,RUS,11.863636363636363,,,10.0,,,282.09302325581393,,,284.4166666666667,,,99.65352272727273,,,100.60415384615385,,,0,0,1,4,0.0,1.0,14.0,15.0
7,77,V BOTTAS,BOT,bottas,Alfa Romeo,alfa,FIN,8.0,8,12.0,72647.0,Finished,4.0,2023,1,5636736.0,max_verstappen,0.012888132422735427,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,BOT,25476.0,2.0,BOT,12.543478260869565,,,6.0,,,276.8222222222222,,,277.0,,,99.99095652173912,,,100.89081818181818,,,0,0,1,4,0.0,1.0,14.0,15.0
8,10,P GASLY,GAS,gasly,Alpine,alpine,FRA,9.0,9,20.0,73753.0,Finished,2.0,2023,1,5636736.0,max_verstappen,0.01308434526648046,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,GAS,25192.333333333332,3.0,GAS,8.258064516129032,,,7.615384615384615,,,282.48275862068965,,,282.52,,,100.5076129032258,,,99.79819230769229,,,0,0,1,4,0.0,1.0,14.0,15.0
9,23,A ALBON,ALB,albon,Williams,williams,THA,10.0,10,15.0,89774.0,Finished,1.0,2023,1,5636736.0,max_verstappen,0.015926592978631606,0,27.43167701863354,26.2,29.8,21.496894409937887,18.0,28.0,1016.8639751552795,1016.5,1017.5,False,31.01180124223602,28.7,35.1,177.1304347826087,0.6832298136645962,2.2,R,ALB,24801.666666666668,3.0,ALB,7.5,,,7.883720930232558,,,286.0769230769231,,,285.7317073170732,,,100.4692857142857,,,100.46372093023255,,,0,0,1,4,0.0,1.0,14.0,15.0
